Oklahoma City, OK|73101,73102,73103,73104,73105,73106,73107,73108,73109,73110,73111,73112,73113,73114,73115,73116,73117,73118,73119,73120,73121,73122,73123,73124,73125,73126,73127,73128,73129,73130,73131,73132,73134,73135,73136,73137,73139,73140,73141,73142,73143,73144,73145,73146,73147,73148,73149,73150,73151,73152,73153,73154,73155,73156,73157,73159,73160,73162,73163,73164,73165,73167,73169,73170,73172,73173,73178,73179,73184,73185,73189,73190,73194,73195,73196
Omaha, NE|68046,68101,68102,68103,68104,68105,68106,68107,68108,68109,68110,68111,68112,68113,68114,68116,68117,68118,68119,68120,68122,68124,68127,68130,68131,68132,68133,68134,68135,68136,68137,68138,68139,68142,68144,68145,68147,68152,68154,68155,68157,68164,68172,68175,68176,68178,68179,68180,68182,68183,68197,68198
Philadelphia, PA|19019,19092,19093,19099,19101,19102,19103,19104,19105,19106,19107,19108,19109,19110,19111,19112,19113,19114,19115,19116,19118,19119,19120,19121,19122,19123,19124,19125,19126,19127,19128,19129,19130,19131,19132,19133,19134,19135,19136,19137,19138,19139,19140,19141,19142,19143,19144,19145,19146,19147,19148,19149,19150,19151,19152,19153,19154,19155,19160,19161,19162,19170,19171,19172,19173,19175,19176,19177,19178,19179,19181,19182,19183,19184,19185,19187,19188,19190,19191,19192,19193,19194,19195,19196,19197,19244,19255
Phoenix, AZ|85001,85002,85003,85004,85005,85006,85007,85008,85009,85010,85011,85012,85013,85014,85015,85016,85017,85018,85019,85020,85021,85022,85023,85024,85025,85026,85027,85028,85029,85030,85031,85032,85033,85034,85035,85036,85037,85038,85039,85040,85041,85042,85043,85044,85045,85046,85048,85050,85051,85053,85054,85055,85060,85061,85062,85063,85064,85065,85066,85067,85068,85069,85070,85071,85072,85073,85074,85075,85076,85078,85079,85080,85082,85083,85085,85086,85087,85097,85098
Portland, OR|97250,97251,97252,97253,97254,97086,97201,97202,97203,97204,97205,97206,97207,97208,97209,97210,97211,97212,97213,97214,97215,97216,97217,97218,97219,97220,97221,97222,97223,97224,97225,97227,97228,97229,97230,97231,97232,97233,97236,97238,97239,97240,97242,97256,97258,97266,97267,97268,97269,97280,97281,97282,97283,97286,97290,97291,97292,97293,97294,97296,97298
Raleigh, NC|27601,27602,27603,27604,27605,27606,27607,27608,27609,27610,27611,27612,27613,27614,27615,27616,27617,27619,27620,27621,27622,27623,27624,27625,27626,27627,27628,27629,27634,27635,27636,27640,27650,27656,27658,27661,27668,27675,27676,27690,27695,27697,27698,27699
Sacramento, CA|94203,94204,94205,94206,94207,94208,94209,94211,94229,94230,94232,94234,94235,94236,94237,94239,94240,94244,94245,94246,94247,94248,94249,94250,94252,94254,94256,94257,94258,94259,94261,94262,94263,94267,94268,94269,94271,94273,94274,94277,94278,94279,94280,94282,94283,94284,94285,94286,94287,94288,94289,94290,94291,94293,94294,94295,94296,94297,94298,94299,95811,95812,95813,95814,95815,95816,95817,95818,95819,95820,95821,95822,95823,95824,95825,95826,95827,95828,95829,95830,95831,95832,95833,95834,95835,95836,95837,95838,95840,95841,95842,95843,95851,95852,95853,95860,95864,95865,95866,95867,95887,95894,95899
San Antonio, TX|78201,78202,78203,78204,78205,78206,78207,78208,78209,78210,78211,78212,78213,78214,78215,78216,78217,78218,78219,78220,78221,78222,78223,78224,78225,78226,78227,78228,78229,78230,78231,78232,78233,78234,78235,78236,78237,78238,78239,78240,78241,78242,78243,78244,78245,78246,78247,78248,78249,78250,78251,78252,78253,78254,78255,78256,78257,78258,78259,78260,78261,78263,78264,78265,78266,78268,78269,78270,78278,78279,78280,78283,78284,78285,78287,78288,78289,78291,78292,78293,78294,78295,78296,78297,78298,78299
San Diego, CA|92101,92102,92103,92104,92105,92106,92107,92108,92109,92110,92111,92112,92113,92114,92115,92116,92117,92118,92119,92120,92121,92122,92123,92124,92126,92127,92128,92129,92130,92131,92132,92134,92135,92136,92137,92138,92139,92140,92142,92143,92145,92147,92149,92150,92152,92153,92154,92155,92158,92159,92160,92161,92162,92163,92164,92165,92166,92167,92168,92169,92170,92171,92172,92173,92174,92175,92176,92177,92178,92179,92182,92184,92186,92187,92190,92191,92192,92193,92195,92196,92197,92198,92199
San Francisco, CA|94102,94103,94104,94105,94107,94108,94109,94110,94111,94112,94114,94115,94116,94117,94118,94119,94120,94121,94122,94123,94124,94125,94126,94127,94128,94129,94130,94131,94132,94133,94134,94137,94139,94140,94141,94142,94143,94144,94145,94146,94147,94151,94153,94154,94156,94158,94159,94160,94161,94162,94163,94164,94171,94172,94177,94188
San Jose, CA|950029,5101,95103,95106,95108,95109,95110,95111,95112,95113,95115,95116,95117,95118,95119,95120,95121,95122,95123,95124,95125,95126,95127,95128,95129,95130,95131,95132,95133,95134,95135,95136,95138,95139,95140,95141,95148,95150,95151,95152,95153,95154,95155,95156,95157,95158,95159,95160,95161,95164,95170,95172,95173,95190,95191,95192,95193,95194,95196
Seattle, WA|98101,98102,98103,98104,98105,98106,98107,98108,98109,98110,98111,98112,98113,98114,98115,98116,98117,98118,98119,98121,98122,98124,98125,98126,98127,98129,98131,98132,98133,98134,98136,98138,98139,98141,98144,98145,98146,98148,98154,98155,98158,98160,98161,98164,98165,98166,98168,98170,98174,98175,98177,98178,98181,98185,98188,98189,98190,98191,98194,98195,98198,98199
Tucson, AZ|85701,85702,85703,85704,85705,85706,85707,85708,85709,85710,85711,85712,85713,85714,85715,85716,85717,85718,85719,85720,85721,85722,85723,85724,85725,85726,85728,85730,85731,85732,85733,85734,85735,85736,85737,85738,85739,85740,85741,85742,85743,85744,85745,85746,85747,85748,85749,85750,85751,85752,85754,85755,85756,85757,85775
Tulsa, OK|74101,74102,74103,74104,74105,74106,74107,74108,74110,74112,74114,74115,74116,74117,74119,74120,74121,74126,74127,74128,74129,74130,74131,74132,74133,74134,74135,74136,74137,74141,74145,74146,74147,74148,74149,74150,74152,74153,74155,74156,74157,74158,74159,74169,74170,74171,74172,74182,74186,74187,74192,74193
Virginia Beach, VA|23450,23451,23452,23453,23454,23455,23456,23457,23458,23459,23460,23461,23462,23463,23464,23465,23466,23467,23471,23479
Washington, DC|20252,20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20015,20016,20017,20018,20019,20020,20022,20023,20024,20026,20027,20029,20030,20032,20033,20035,20036,20037,20038,20039,20040,20041,20042,20043,20044,20045,20046,20047,20049,20050,20051,20052,20053,20055,20056,20057,20058,20059,20060,20061,20062,20063,20064,20065,20066,20067,20068,20069,20070,20071,20073,20074,20075,20076,20077,20078,20080,20081,20082,20088,20090,20091,20097,20098,20201,20202,20203,20204,20206,20207,20208,20210,20211,20212,20213,20214,20215,20216,20217,20218,20219,20220,20221,20222,20223,20224,20226,20227,20228,20229,20230,20232,20233,20235,20237,20238,20239,20240,20241,20242,20244,20245,20250,20251,20254,20260,20261,20262,20265,20266,20268,20270,20277,20289,20299,20301,20303,20306,20307,20310,20314,20317,20318,20319,20330,20340,20350,20355,20370,20372,20373,20374,20375,20376,20380,20388,20389,20390,20391,20392,20393,20394,20395,20398,20401,20402,20403,20404,20405,20406,20407,20408,20409,20410,20411,20412,20413,20414,20415,20416,20417,20418,20419,20420,20421,20422,20423,20424,20425,20426,20427,20428,20429,20431,20433,20434,20435,20436,20437,20439,20440,20441,20442,20444,20447,20451,20453,20456,20460,20463,20468,20469,20470,20472,20500,20501,20502,20503,20504,20505,20506,20507,20508,20509,20510,20511,20515,20520,20521,20522,20523,20524,20525,20526,20527,20528,20529,20530,20531,20532,20533,20534,20535,20536,20537,20538,20539,20540,20541,20542,20543,20544,20546,20547,20548,20549,20551,20552,20553,20554,20555,20557,20558,20559,20560,20565,20566,20570,20571,20572,20573,20575,20576,20577,20578,20579,20580,20581,20585,20586,20590,20591,20593,20594,20597,20599
Wichita, KS|67147,67201,67202,67203,67204,67205,67206,67207,67208,67209,67210,67211,67212,67213,67214,67215,67216,67217,67218,67219,67220,67221,67223,67226,67227,67228,67230,67232,67235,67260,67275,67276,67277,67278
